
[START] Batch 0 (0 → 2000)
[ERROR] Failed to fetch: https://api.github.com/repos/great-expectations/great/expectations/git/blobs/908f863e71d9845983a75ec48bb5ef9e7389c924 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/great-expectations/great/expectations/git/blobs/0011491607d1e9366ceb40a9d74a0f85dd408a36 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/great-expectations/great/expectations/git/blobs/efead5d5f418008b90f12c987b09904d8049aed0 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/great-expectations/great/expectations/git/blobs/0011491607d1e9366ceb40a9d74a0f85dd408a36 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/0b9dd628a01698c4672b5629d0e0befe45b07a41 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/00762e4ea15593bf9cf8c4078fd28448525c4b44 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/0eeb40da177babb568ca1a39a50ef1b15c1d2eca -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/007a05e0737dab6c5209aad5a7245fa635681987 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/0eeb40da177babb568ca1a39a50ef1b15c1d2eca -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/007a05e0737dab6c5209aad5a7245fa635681987 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/7fd45975b8a8f363757bf48ee8ded4829a62af8b -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/0aa0f42f6a3f0ace3e38b8679144825a89c7a7cf -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/4f4975cda843fd9e3678ebfe4613c25b0bdd777f -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/christabor/flask/jsondash/git/blobs/269532da584a40d9b52c9773468952580dc17f12 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/f1e4b99a525f28f1fdad71128cdc2c62171f7438 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/016e9de284ef2af6bbc7a4da28acea48ab8dc138 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/f1e4b99a525f28f1fdad71128cdc2c62171f7438 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/016e9de284ef2af6bbc7a4da28acea48ab8dc138 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/wbond/package/control/git/blobs/44143e31567ce49b64c3c3eca023f9218f1d9070 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/wbond/package/control/git/blobs/01a5ad9d3ca50874b499d5ff60dba5b64a811af9 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/rusty1s/pytorch/geometric/git/blobs/033ec9959b733723c6f3bfd55e1c4dff69f2cdf8 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/rusty1s/pytorch/geometric/git/blobs/01d1e1a5cd35a16a52a78fdcc6aee03bfca36438 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/rusty1s/pytorch/geometric/git/blobs/9637e76c0667bdd1eb8a30d21197f2cdd4399f02 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/rusty1s/pytorch/geometric/git/blobs/01e036306db9e9479e992a7e05602b226d44a259 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/7aea4d668dc372b5be2d9545bc8a955da82c80a1 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/timgrossmann/InstaPy/git/blobs/01f14136e157ae39a3ad406b2ae7b04dedb978fc -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/ansible/ansible/git/blobs/0228dcf3a6b36fbef4fb45a94c7dd89de40e371c -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/wbond/package/control/git/blobs/c43b3d6e4b979130b08e7e69a545c54f500dea88 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/wbond/package/control/git/blobs/026bfcb670d99c148616127e35f82264ca82f1a1 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/wbond/package/control/git/blobs/c43b3d6e4b979130b08e7e69a545c54f500dea88 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/wbond/package/control/git/blobs/026bfcb670d99c148616127e35f82264ca82f1a1 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/032318be619b7b5ce8c695e898e5469c7ff727ba -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/03325c4b521fae713022a5899a82516cfd5e867f -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/eb228d49acb4e00786b83200b6fdb927f4c7f9dd -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/0337d45b8f3bacf6c277d5ae2fc498962e8c3926 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/a43571372ae743fa2d093ae15d4f47f4ced9485f -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/033845b19035c058ab2664ec2272501c4432f8a1 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/59f19306040692f644e80ad1063045c7dd665d74 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/0359f2664317f544634b78d0e794b38ae186486f -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/3bd3c29ca02643a2049339305599753f819288e3 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/3bd3c29ca02643a2049339305599753f819288e3 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/3bd3c29ca02643a2049339305599753f819288e3 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/deeppomf/DeepCreamPy/git/blobs/f206bbe87d5a7d15dfce4b049b932a10f31de801 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/deeppomf/DeepCreamPy/git/blobs/03912022c11857b6278183ceeea1d7e0ed9363c2 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/52dacb653c3a9bac276e1d75e46622f5a2f19da9 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/03b0c2ead009e960b95ab6cbb4d3e9df2bb006cf -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/f7808fbf6b642b3eb9bc39e1726e03335fe8f65c -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/03d7133419bb5fbd6b49a2af5a63cfc860d32985 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/f7808fbf6b642b3eb9bc39e1726e03335fe8f65c -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/03d7133419bb5fbd6b49a2af5a63cfc860d32985 -> 404
[DONE] Batch 0: 1479 samples → ../downloaded_data/pysstubs/output_batches/batch_000.jsonl

[START] Batch 1 (2000 → 4000)
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/e5395dcf2cf05cc03f0c38a0b601232d0a052978 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/edx/edx-platform/git/blobs/040d72ef834b95ff76b4fb31638f4e1a3ab6f377 -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/great-expectations/great/expectations/git/blobs/85fb6079630462d8678fcce570c0885041e6b01a -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/great-expectations/great/expectations/git/blobs/041305cfa4cbe51c7deef63d05eafee67130b4aa -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/rusty1s/pytorch/geometric/git/blobs/4b4bddb922c949f7dabd65b85ee4f5ced419a73a -> 404
[ERROR] Failed to fetch: https://api.github.com/repos/rusty1s/pytorch/geometric/git/blobs/04371b6b9eac1e672e153f7f7c62011f9b3bc556 -> 404
